Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,SCQF Level,SCQF Credit,Date of SCQF Approval 
Mandatory Section - Group 1 candidates must complete 4 Mandatory units  ,,,,,,
,PPLREC01,M,Prepare to Undertake Duties in the Rail Engineering Industry,5,3,04//12/2013
,PPLREC10,M,Contribute to Safe Working Practices in the Rail Engineering Industry,5,3,4/12/2013
,PPLREEP08,M,Plan Electrification and Plant Engineering Activities,6,24,10/12/2014
,PPLREEP13,M,Carry Out Technical Assessment of Electrification and Plant,6,36,10/12/2014
1 of the following groups (Group 2 or Group 3) must be completed - Group 2 (2 units) or Group 3 (1 unit) ,,,,,,
Group 2,,,,,,
,PPLREEP06,M,Carry out Installation of Electrification and Plant Equipment and Components,6,47,10/12/2014
,PPLREEP09,M,Transfer Responsibility of Electrification and Plant Equipment and Components,6,10,10/12/2014
Group 3 ,,,,,,
,PPLREEP01,M,Carry Out Maintenance on Electrification and Plant Equipment and Components,6,48,10/12/2014
Group 4 - 1 unit must be selected,,,,,,
,PPLREEP11,O,Allocate and Monitor Resources for Electrification and Plant Engineering Activities,6,31,10/12/2014
,PPLREEP12,O,Restore the Contact Systems to Operational Condition in the Rail Engineering Industry,6,14,10/12/2014
,PPLREEP15,O,Isolate and Earth Contact Systems to Meet Defined Isolation Requirements in the Rail Engineering Industry,6,15,10/12/2014
,,,,,,
Qualification Structure and SCQF Credit Rating (Accreditation),,,,,,
Awarding Body Name,,,EAL,Date Structure Approved,,10/12/2014
Qualification Title,,,SVQ 3 Rail Engineering: Electrification Construction Maintenance at SCQF Level 6,SCQF Overall Level,,6
Group Award Code,,,GK59 23,SCQF Overall Credit,,128 - 154
Date Accredited From,,,26/2/2015,,,
Accreditation End Date,,,28/2/2020,,,
Accreditation Cert End Date,,,28/2/2023,,,
Structure Information ( 4 mandatory units plus a further 1 or 2 units from Group 2 or 3 plus a further 1 optional unit from Group 4),,,,,,
