Accred Code,Developer Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval ,"Imported From 
(Developer Name)"
Mandatory Units - 3 Units must be completed for all pathways,,,,,,,
HE9D 04,SEMMAN123-01,M ,Complying with Statutory Regulations and Organisational Safety Requirements ,5,5,27/8/2014,
HE9C 04,SEMMAN23-02 ,M,Using and interpreting engineering data and documentation,5,5,27/8/2014,
FR0T 04,SEMMAN3-03,M,Working Efficiently and Effectively in Engineering,5,5,27/8/2014,
"Pathway 1 - Pipe and Tube Fabrication
Candidates must complete the 3 mandatory units above plus 5 from the Optional Section (Optional Section 1 Unit must be chosen from Option Group A,  1 from Option Group B, 2 from Option Group C and 1 from Option Group D) (a total of 8 units)",,,,,,,
Option Group A Candidates must select 1 unit,,,,,,,
H1VW 04,SEMFWE322,O,Marking Out Components for Metalwork ,6,47,13/1/2016,
H1VX 04,SEMFWE327,O,Developing and Marking Out Templates for Metalwork ,6,49,13/1/2016,
Option Group B Candidates must select 1 unit,,,,,,,
HF2X 04,SEMFWE333,O,Cutting and Shaping Materials using Portable Thermal Cutting Equipment ,6,35,13/1/2016,
HF2Y 04,SEMFWE334,O,Cutting Materials using Saws and Abrasive Discs ,6,32,13/1/2016,
Option Group C Candidates must select 2 units,,,,,,,
H1W1 04,SEMFWE344,O,Forming Pipework by Machine Bending ,6,40,13/1/2016,
HF30 04,SEMFWE345,O,Producing Pipe Fabrications ,6,40,13/1/2016,
H1W3 04,SEMFWE337,O,Producing and Finishing Holes using Drilling Machines ,6,36,13/1/2016,
Option Group D Candidates must select 1 unit,,,,,,,
HF31 04,SEMFWE328,O,Joining Fabricated Components using Mechanical Fasteners ,6,36,13/1/2016,
H1W5 04,SEMFWE346,O,Producing Socket and Flange Fillet Welded Joints in Pipe using a Manual Welding Process,6,49,13/1/2016,
HF32 04,SEMFWE329,O,Bonding Engineering Materials using Adhesives ,6,38,13/1/2016,
HF33 04,SEMFWE339,O,"Slinging, Lifting and Moving Materials and Components ",6,29,13/1/2016,
"Pathway 2 - Manual Welding
Candidates must complete the 3 Mandatory Units above plus 1 further optional units (4 units in total)",,,,,,,
H1VN 04,SEMFWE304,O,Welding Materials by the Manual Metal Arc Process ,6,57,13/1/2016,
HE8W 04,SEMFWE305,O,Welding Materials by the Semi-automatic MIG/MAG and flux cored arc Processes,6,57,13/1/2016,
