Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,"SCQF
 Level",SCQF Credit,Date of SCQF Approval 
,,M,Working safely in the power sector ,5,4,Jul-12
,,M,Working efficiently and effectively in the power sector ,5,2,Jul-12
,,M,Using and communicating technical information in the power sector ,5,3,Jul-12
,,M,Location and identification of underground utility services ,5,4,Jul-12
,,M,Access and egress and movement within the working area ,5,2,Jul-12
Optional group A,,,,,,
,,O,Service jointing on low voltage underground cables ,5,12,Jul-12
,,O,Jointing and termination of low voltage mains underground cables ,5,15,Jul-12
,,O,Jointing and termination of high voltage (up to 25 kV) underground cables ,5,15,Jul-12
,,O,Over 25 kV XLPE jointing and terminations ,5,15,Jul-12
,,O,Over 25 kV paper insulated jointing and terminations (non pressurised) ,5,15,Jul-12
,,O,Over 25 kV paper insulated jointing and terminations (pressurised) ,5,15,Jul-12
Optional group B,,,,,,
,,O,Customer relations for working in the power sector ,5,2,Jul-12
,,O,"Movement of cable, plant and apparatus ",5,6,Jul-12
,,O,"Access, egress and movement in substations ",5,4,Jul-12
,,O,Electrical testing of underground cables and apparatus ,5,6,Jul-12
,,O,Repairs to faulted or damaged Low Voltage service and mains cables (non-diagnosis) ,5,20,Jul-12
,,O,Carry out excavation activities on underground cables ,5,4,Jul-12
,,O,Inspect the installation of underground cables ,5,4,Jul-12
,,O,Install underground cables ,5,4,Jul-12
,,O,Carry out jointing on pilot/telephone cables ,5,8,Jul-12
,,O,Carry out jointing on low voltage concentric cables ,5,8,Jul-12
,,O,Carry out jointing on low voltage consac cables ,5,8,Jul-12
,,O,Repairs to faulted or damaged High Voltage cables (non-diagnosis) ,5,20,Jul-12
Qualification Structure and SCQF Credit Rating (Accreditation),,,,,,
Awarding Body Name,,,City & Guilds,Date Structure Approved,,04/07/2012 & 30/09/2015
Qualification Title,,,Certificate in Electrical Power Engineering - Underground Cables at SCQF Level 5,SCQF Overall Level,,Level 5
Group Award Code,,,R228 04,SCQF Overall Credit,,37 minimum
Date Accredited From,,,31/12/2014,Credit Rating Body,,City & Guilds
Accreditation End Date,,,31/3/2021,,,
Accreditation Cert End Date,,,31/3/2024,,,
,,,,,,
"Certificate in Electrical Power Engineering - Underground Cables at SCQF Level 5.
Candidates must achieve a minimum of 37 credits. 15 credits must come from the mandatory units and a minimum of 12 credits from the optional group A and a minimum of 10 credits from optional group B. ",,,,,,
