Accred Code,SSC/B Code,Mandatory/ Optional/ Additional Unit ,Unit Title,SCQF Level,SCQF Credit,Date of SCQF Approval ,"Imported From 
(SSC/B Name)",5
,650,Mandatory,Power industry,6,4,8/12/2010,,6
,651,Mandatory,Theory and background of wind turbines and energy,6,12,8/12/2010,,7
,652,Mandatory,Mechanical Theory and Principles of Wind Turbine Technology,6,9,8/12/2010,,8
,653,Mandatory,Electrical Theory and Principles for Wind Turbine Technology,6,12,8/12/2010,,
,654,Mandatory,Control and Instrumentation Theory and Principles of Wind Turbine Technology,6,7,8/12/2010,,
,655,Mandatory,Hydraulic Theory and Principles of Wind Turbine Technology,6,9,8/12/2010,,
,657,Mandatory,Wind Turbine Technology Systems Approach,6,12,8/12/2010,,
Qualification Structure and Credit Rating,,,,,,,,SVQ
SSC/SSB Name,,,Energy and Utility Skills,,,,,Regulatory
Qualification Title,,,Diploma in Electrical Power Engineering - Wind Turbine Maintenance (Technical Knowledge) at SCQF level 6,,,,,Other
Qualification Type,,,Other,See tabs below for information related to Awarding Bodies accredited for this qualification. SQA Accreditation will add this information as new Awarding Bodies are Accredited.,,,,
Date Structure Approved,,,8/12/2010,,,,,
SCQF Overall Level,,,6,,,,,1
SCQF Overall Credit,,,65 credits,,,,,2
,,,,,,,,3
Structure Information (including how many Units are to be selected),,,,,,,,4
