,NOS 1,NOS 2
Pair 0,"('fspaml13', 'advise and guide staff in your organisation on anti-money laundering and countering terrorist financing  ', 'advise-and-guide-staff-in-your-organisation-on-anti-money-laundering-and-countering-terrorist-financing-fspaml13.pdf')","('fspaml13', 'advise and guide staff in your organisation on anti-money laundering and countering terrorist financing', 'fspaml13.pdf')"
Pair 1,"('coglata3-04', 'assess and communicate scientific or technical information to authorised personnel', 'assess-and-communicate-scientific-or-technical-information-to-authorised-personnel-coglata3-04.pdf')","('coglata3-04', 'assess and communicate scientific or technical information to authorised personnel', 'coglata3-04.pdf')"
Pair 2,"('fspaml5', 'assess and mitigate the anti-money laundering and countering terrorist financing compliance risks relevant to your  organisation ', 'assess-and-mitigate-the-anti-money-laundering-and-countering-terrorist-financing-compliance-risks-relevant-fspaml5.pdf')","('fspaml5', 'assess and mitigate the anti-money laundering and countering terrorist financing compliance risks relevant to your organisation', 'fspaml5.pdf')"
Pair 3,"('eusldc1', 'assess the configuration of metered areas', 'assess-the-configuration-of-metered-areas-eusldc1.pdf')","('euswfrbe1', 'ensure your actions reduce risks to health and safety', 'euswfrbe1.pdf')"
Pair 4,"('coglata3-15', 'assess your own scientific or technical knowledge and skills for workplace activities', 'assess-your-own-scientific-or-technical-knowledge-and-skills-for-workplace-activities-coglata3-15.pdf')","('coglata3-15', 'assess your own scientific or technical knowledge and skills for workplace activities', 'coglata3-15.pdf')"
Pair 5,"('fspaml2', 'assist in developing the compliance culture of your organisation ', 'assist-in-developing-the-compliance-culture-of-your-organisation--fspaml2.pdf')","('fspaml2', 'assist in developing the compliance culture of your organisation', 'fspaml2.pdf')"
Pair 6,"('fspaml10', 'assist senior management in ensuring that staff at your organisation comply with anti-money laundering and countering terrorist financing measures  ', 'assist-senior-management-in-ensuring-that-staff-at-your-organisation-comply-with-anti-money-laundering-fspaml10.pdf')","('fspaml10', 'assist senior management in ensuring that staff at your organisation comply with anti-money laundering and countering terrorist financing measures', 'fspaml10.pdf')"
Pair 7,"('cogsqo-03', 'assure quality methods and procedures in a science or technology environment', 'assure-quality-methods-and-procedures-in-a-science-or-technology-environment-cogsqo-03.pdf')","('cogscim4_06 ', 'assure quality methods and procedures in a biomanufacturing environment', 'cogscim4_06 .pdf')"
Pair 8,"('astc01', 'manage self and relationships and service standards', 'astc01.pdf')","('astspm3c01', 'manage self and relationships and service standards within a surveying environment', 'astspm3c01.pdf')"
Pair 9,"('astc02', 'manage your own work', 'astc02.pdf')","('astspm3c02', 'manage your own work within a surveying environment', 'astspm3c02.pdf')"
Pair 10,"('astco3', 'ensure that your own actions reduce risks to health and safety', 'astc03.pdf')","('astspm3c03', 'ensure that your own actions reduce risks to health and safety within a surveying', 'astspm3c03.pdf')"
Pair 11,"('astc206', 'clean and maintain external surfaces and areas', 'astc206.pdf')","('euswo51l', 'clean and maintain external surfaces and areas legacy', 'euswo51l.pdf')"
Pair 12,"('astc212', 'deep clean equipment and surfaces', 'astc212.pdf')","('astpc216', 'deep clean premises and facilities', 'astpc216.pdf')"
Pair 13,"('astc219', 'perform street cleansing by machine', 'astc219.pdf')","('euswo50l', 'perform street cleansing by machine legacy', 'euswo50l.pdf')"
Pair 14,"('astndeas3', 'assess the energy performance of new-build non-dwellings prior to first occupancy using the simplified building energy model (sbem)', 'astdndeas3.pdf')","('astndeas4', 'assess the energy performance of new-build non-dwellings prior to first occupancy using dynamic simulation models (dsms)', 'astdndeas4.pdf')"
Pair 15,"('astea3', 'conduct site visits to inspect property and provide initial energy advice to clients', 'astea3.pdf')","('astndea3', 'conduct site visits to inspect property and provide initial advice to clients', 'astndea3.pdf')"
Pair 16,"('astffl4', 'prepare and carry out pre-restoration cleaning to structures', 'astffl4.pdf')","('astffl5', 'prepare and carry out pre-restoration cleaning to contents', 'astffl5.pdf')"
Pair 17,"('asth211', 'organise the maintenance and repair of property ', 'asth211.pdf')","('asth306', 'organise the maintenance and repair of property', 'asth306.pdf')"
Pair 18,"('astlb3', 'monitor ongoing entitlement to benefits', 'astlb3.pdf')","('finlb3', 'monitor ongoing entitlement to benefits', 'fsplb3.pdf')"
Pair 19,"('astll10', 'implement check-out procedures and dispersals in a letting environment', 'astll10.pdf')","('astrl21 ', 'implement check-out procedures and dispersals in a letting environment   ', 'astrl21.pdf')"
