File name,NOS Title,URN,SOC Code,Suite
identify-and-develop-potential-partnerships-for-working-in-the-food-and-drink-supply-chain-impbg401.pdf, identify and develop potential partnerships for working in the food and drink supply chain,impbg401,['2429'],food business growth and development
managing-process-condition-g257information-in-downstream-operations-cogdo16.pdf, managing process condition information in downstream operations,cogdo16,['8114'],downstream operations
acquire-content-material-for-editorial-use-sksj17.pdf,acquire content material for editorial use,sksj17,['2471'],journalism
address-enquiries-relating-to-financial-crime-from-those-with-empowered-authority--fspcfc15.pdf,address enquiries relating to financial crime from those with empowered authority ,fspcfc15,"['1150', '2462']",countering financial crime
administer-emergency-and-critical-nursing-care-to-veterinary-patients-lanrvn10.pdf,administer emergency and critical nursing care to veterinary patients,lanrvn10,['6131'],veterinary nursing and auxiliary services
administer-emergency-first-aid-lanrvn12.pdf,administer emergency first aid and assist with the provision of emergency treatment to veterinary patients,lanrvn12,['6131'],veterinary nursing and auxiliary services
adminster-medication-to-veterinary-patients--lanrvn24.pdf,adminster medication to veterinary patients ,lanrvn24,['6131'],veterinary nursing and auxiliary services
admit-and-discharge-veterinary-patients-lanrvn7.pdf,admit and discharge veterinary patients,lanrvn7,['6131'],veterinary nursing and auxiliary services
advise-a-potential-client-on-a-post-production-project-skspp02.pdf,advise a potential client on a post production project,skspp02,,post production
advise-and-guide-staff-in-your-organisation-on-anti-money-laundering-and-countering-terrorist-financing-fspaml13.pdf,advise and guide staff in your organisation on anti-money laundering and countering terrorist financing  ,fspaml13,,anti money laundering
advise-and-guide-your-organisation-on-compliance-matters-fspcomp9.pdf,advise and guide your organisation on compliance matters,fspcomp9,,compliance
advise-on-rectification-of-quality-issues-related-to-wood-or-wood-based-materials-prowt9.pdf,advise on rectification of quality issues related to wood or wood-based materials,prowt9,['5442'],wood technology
advise-on-selection-and-application-of-wood-or-wood-based-materials-prowt8.pdf,advise on selection and application of wood or wood-based materials,prowt8,['5442'],wood technology
advise-production-from-a-post-production-perspective-skspp01.pdf,advise production from a post production perspective,skspp01,,post production
agree-communication-policy-relating-to-the-organisation’s-approach-to-countering-financial-crime--fspcfc13.pdf,agree communication policy relating to the organisation’s approach to countering financial crime ,fspcfc13,"['1150', '2462']",countering financial crime
agree-production-and-co-production-parameters--sksanim1.pdf,agree production and co-production parameters ,sksanim1,,animation
agree-restoration-requirements-with-customers-profrr11.pdf,agree restoration requirements with customers,profrr11,['5442'],furniture restoration and service repair
allocate-and-monitor-work-in-a-food-and-drink-business-impom111.pdf,allocate and monitor work in a food and drink business,impom111,['2429'],food business operational management
analyse-and-interpret-data-in-science-or-technology-related-industries-cogsqo-02.pdf,analyse and interpret data in science or technology related industries,cogsqo-02,['1'],scientific quality operations
analysing-samples-in-downstream-operations-cogdo11.pdf,analysing samples in downstream operations,cogdo11,['8114'],downstream operations
apply-adhesives-to-components-profm48.pdf,apply adhesives to components,profm48,['5442'],furniture making
apply-specialist-pavement-surfacing-materials-manually-cosvr383.pdf,apply specialist pavement surfacing materials manually,cosvr383,,road building and maintenance
apply-treatment-chemicals-to-wood-prowpt2.pdf,apply treatment chemicals to wood,prowpt2,['5442'],wood treatment and preservation
assemble-fish-or-shellfish-products-by-hand-impfp127.pdf,assemble fish or shellfish products by hand,impfp127,['5433'],fish and shellfish operations
assess-and-communicate-scientific-or-technical-information-to-authorised-personnel-coglata3-04.pdf,assess and communicate scientific or technical information to authorised personnel,coglata3-04,,laboratory and associated technical activities suite 3 2010
assess-and-mitigate-the-anti-money-laundering-and-countering-terrorist-financing-compliance-risks-relevant-fspaml5.pdf,assess and mitigate the anti-money laundering and countering terrorist financing compliance risks relevant to your  organisation ,fspaml5,"['1150', '2462']",anti money laundering
assess-and-report-on-studios-and-locations-for-sound-acquisition-skss03.pdf,assess and report on studios and locations for sound acquisition,skss03,,sound production film and tv
assess-and-review-the-compliance-risks-relevant-to-your-organisation--fspcomp3.pdf,assess and review the compliance risks relevant to your organisation ,fspcomp3,,compliance
assess-and-specify-repair-requirements-profrr18.pdf,assess and specify repair requirements,profrr18,['5442'],furniture restoration and service repair
assess-area-for-repair-and-resurfacing-cosvr541.pdf,assess area for repair and resurfacing,cosvr541,['8149'],associated industrial services occupations construction
assess-items-of-furniture-for-repair-profrr4.pdf,assess items of furniture for repair,profrr4,['5442'],furniture restoration and service repair
assess-production-and-operational-costs-in-a-food-and-drink-business-impmr104.pdf,assess production and operational costs in a food and drink business,impmr104,['2429'],food business resource development
assess-the-configuration-of-metered-areas-eusldc1.pdf,assess the configuration of metered areas,eusldc1,"['8126', '5330']",leakage detection and control
assess-the-impact-of-legal-and-regulatory-requirements-relating-to-your-organisation-on-countering-financial-fspcfc2.pdf,assess the impact of legal and regulatory requirements relating to your organisation on countering financial crime,fspcfc2,,countering financial crime
assess-your-own-scientific-or-technical-knowledge-and-skills-for-workplace-activities-coglata3-15.pdf,assess your own scientific or technical knowledge and skills for workplace activities,coglata3-15,,laboratory and associated technical activities suite 3 2010
assist-in-administering-and-maintaining-anaesthetics-or-sedation-to-veterinary-patients-lanrvn21.pdf,assist in administering and maintaining anaesthetics or sedation to veterinary patients,lanrvn21,['6131'],veterinary nursing and auxiliary services
assist-in-developing-the-compliance-culture-of-your-organisation--fspaml2.pdf,assist in developing the compliance culture of your organisation ,fspaml2,"['1150', '2462']",anti money laundering
assist-in-developing-the-compliance-culture-of-your-organisation--fspcomp7.pdf,assist in developing the compliance culture of your organisation ,fspcomp7,,compliance
assist-management-of-production-filming-sksp25.pdf,assist management of production filming,sksp25,['3416'],production film and tv
assist-qualified-veterinary-staff-during-medical-procedures-and-diagnostic-investigations-lanrvn26.pdf,assist qualified veterinary staff during medical procedures and diagnostic investigations,lanrvn26,['6131'],veterinary nursing and auxiliary services
assist-senior-management-in-ensuring-that-staff-at-your-organisation-comply-with-anti-money-laundering-fspaml10.pdf,assist senior management in ensuring that staff at your organisation comply with anti-money laundering and countering terrorist financing measures  ,fspaml10,"['1150', '2462']",anti money laundering
assist-the-veterinary-surgeon--lanrvn18.pdf,assist the veterinary surgeon as a scrubbed nurse to perform surgical procedures on veterinary patients,lanrvn18,['6131'],veterinary nursing and auxiliary services
assist-the-veterinary-surgeon-as-a-general-theatre-assistant-during-surgical-procedures--lanrvn17.pdf,assist the veterinary surgeon as a general theatre assistant during surgical procedures ,lanrvn17,['6131'],veterinary nursing and auxiliary services
assist-the-veterinary-surgeon-in-preparing-sedation-and-anaesthesia-materials-and-equipment-for-veterinary-lanrvn19.pdf,assist the veterinary surgeon in preparing sedation and anaesthesia materials and equipment for veterinary procedures,lanrvn19,['6131'],veterinary nursing and auxiliary services
assist-with-the-milking-of-livestock-lanlp13.pdf,assist with the milking of livestock,lanlp13,['9111'],livestock production
assist-with-the-post-production-process-sksp34.pdf,assist with the post-production process,sksp34,['3416'],production film and tv
assure-quality-methods-and-procedures-in-a-science-or-technology-environment-cogsqo-03.pdf,assure quality methods and procedures in a science or technology environment,cogsqo-03,['1'],scientific quality operations
assure-quality-processes-and-procedures-for-scientific-or-technical-activities-coglata4-03.pdf,assure quality processes and procedures for scientific or technical activities,coglata4-03,,laboratory and associated technical activities suite 4 2010
astaa1.pdf,promote equality and value diversity,astaa1,['9242'],parking control occupations
