NOS file name,Title from ActiveIS,Title extracted from pdf
acquire-content-material-for-editorial-use-sksj17.pdf,acquire content material for editorial use,write for online distribution
administer-emergency-and-critical-nursing-care-to-veterinary-patients-lanrvn10.pdf,administer emergency and critical nursing care to veterinary patients,administer nursing care to animals in veterinary accommodation
administer-emergency-first-aid-lanrvn12.pdf,administer emergency first aid and assist with the provision of emergency treatment to veterinary patients,prepare veterinary diagnostic test equipment and materials
adminster-medication-to-veterinary-patients--lanrvn24.pdf,adminster medication to veterinary patients ,assist the veterinary surgeon as a scrubbed nurse to perform surgical procedures on animals
admit-and-discharge-veterinary-patients-lanrvn7.pdf,admit and discharge veterinary patients,assist qualified veterinary staff during medical procedures and investigations
assess-the-configuration-of-metered-areas-eusldc1.pdf,assess the configuration of metered areas,ensure your own actions reduce risks to health and safety
assist-in-administering-and-maintaining-anaesthetics-or-sedation-to-veterinary-patients-lanrvn21.pdf,assist in administering and maintaining anaesthetics or sedation to veterinary patients,prepare environment and equipment for veterinary surgical procedures
assist-management-of-production-filming-sksp25.pdf,assist management of production filming,identify and select supporting artistes and contributors
assist-qualified-veterinary-staff-during-medical-procedures-and-diagnostic-investigations-lanrvn26.pdf,assist qualified veterinary staff during medical procedures and diagnostic investigations,prepare animals for anaesthesia
assist-the-veterinary-surgeon--lanrvn18.pdf,assist the veterinary surgeon as a scrubbed nurse to perform surgical procedures on veterinary patients,prepare diagnostic imaging equipment and materials for use on animals
assist-the-veterinary-surgeon-as-a-general-theatre-assistant-during-surgical-procedures--lanrvn17.pdf,assist the veterinary surgeon as a general theatre assistant during surgical procedures ,administer emergency first aid and assist with the provision of emergency treatment to animals
assist-the-veterinary-surgeon-in-preparing-sedation-and-anaesthesia-materials-and-equipment-for-veterinary-lanrvn19.pdf,assist the veterinary surgeon in preparing sedation and anaesthesia materials and equipment for veterinary procedures,prepare animals for endoscopy and ultrasound diagnostic imaging
assist-with-the-post-production-process-sksp34.pdf,assist with the post-production process,brief contributors during shooting
calculate-and-administer-fluid-therapy-to-veterinary-patients-lanrvn11.pdf,calculate and administer fluid therapy to veterinary patients,discharge animals from care
care-for-veterinary-in-patients-lanaux3.pdf,care for veterinary in-patients,maintain clinical environments in a veterinary practice
cfam_lba6.pdf,implement and evaluate strategic business plans,develop strategic business plans
clear-copyright-materials-sksp7.pdf,clear copyright materials,contribute to office-based pre-production
co-ordinate-production-documentation--sksp19.pdf,co-ordinate production documentation ,"assist performers, contributors and crew"
co-ordinate-production-resources-–-kit-and-equipment-sksp16.pdf,co-ordinate production resources – kit and equipment,assist in managing resources for the production
collect--process-and-preserve--lanrvn9.pdf,"collect, process and preserve diagnostic test samples from veterinary patients and communicate the results",manage the care of veterinary patients in accommodation
collect-and-act-upon-feedback--euswm23.pdf,collect and act upon feedback from clients and customers to improve waste  resource management services,procedural compliance
communicate-using-mobile-voice-communication-equipment-sfscwd7.pdf,communicate using mobile voice communication equipment,maintain the physical environment of estates
communicate-with-customers-in-the-waste-resource-management-industry-euswm22.pdf,communicate with customers in the waste resource management industry,manage the process for acceptance of wastes for collection
comply-with-codes-of-conduct--regulations-and-standards-when-working-in-journalism-sksj4.pdf,"comply with codes of conduct, regulations and standards when working in journalism",comply with media regulation and organisational codes of conduct
comply-with-uk-legal-and-regulatory-requirements-when-working-in-journalism-sksj3.pdf,comply with uk legal and regulatory requirements when working in journalism,comply with the law
conduct-diagnostic-imaging-on-veterinary-patients-and-produce-the-results--lanrvn14.pdf,conduct diagnostic imaging on veterinary patients and produce the results ,preserve samples from animals for analysis and communicate the results
contribute-to-creativity-and-innovation-in-journalism-sksj5.pdf,contribute to creativity and innovation in journalism,maintain up-to-date general and specialist knowledge
control-maintenance-and-other-engineering-operations-on-a-waste-resource-management-facility-euswm06.pdf,control maintenance and other engineering operations on a waste resource management facility,manage the transportation of waste
cosbimb22.2.pdf,establish and maintain project organisation and communication systems in a building information modelling environment,establish project team partnering in a building information modelling environment
cosccomo05.pdf,plan measured surveys in construction contracting operations management,cosccomo0
cosvr373.pdf,form and finish excavations manually,excavate holes and trenches
create-multi-platform-content-for-editorial-use--sksj21.pdf,create multi-platform content for editorial use ,record audio material
design-and-produce-page-layout-sksj28.pdf,design and produce page layout,manage the print production process
develop-restoration-and-aftercare-schemes-for-landfill-sites-euswm13.pdf,develop restoration and aftercare schemes for landfill sites,manage the transfer of recovered waste and related materials from a waste facility
edit-audio-and-video-material-for-journalistic-use-sksj29.pdf,edit audio and video material for journalistic use,contribute to the design and development of a website
