,Developed By,NOS Title,Suite,SuiteMetadata,Occupations,OccupationsMetadata,Name,Validity,Indicative Review Date,NOS Document Status,URN,SOC Code,NOSCategory,Keywords,Original URN,Created,Modified,Item Type,Path
1175,energy & utility skills,"install domestic gas cookers, tumble dryers and leisure appliances legacy",down stream gas,1260;#down stream gas,gas appliances installer; engineering; science and engineering technicians,2835;#gas appliances installer;#55;#engineering;#563;#science and engineering technicians,eusdsg3.1.pdf,current,2021-12-01 00:00:00,original,eusdsg3.1,,,"install, domestic, gas, cookers, tumble dryers, leisure appliances, installation, energy, utility, utilities",dsg 3.1,2018-10-05 16:04:09,2018-10-05 16:04:10,item,publishednos
1639,energy & utility skills,"install domestic gas cookers, tumble dryers and leisure appliances",down stream gas,1260;#down stream gas,gas appliances installer; engineering; science and engineering technicians,2835;#gas appliances installer;#55;#engineering;#563;#science and engineering technicians,eusdsg3.1.pdf,current,2021-12-01 00:00:00,original,eusdsg3.1,5314,jobspecific,"install, domestic, gas, cookers, tumble dryers, leisure appliances, installation, energy, utility, utilities",dsg 3.1,2018-02-12 11:51:33,2019-03-21 11:27:13,item,publishednos-old
1167,energy & utility skills,install gas fired ducted air heaters and appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.10.pdf,current,2021-12-01 00:00:00,original,eusdsg3.10,,,"install, installation, gas, warm air, central heating, systems, utility, utilities",dsg 3.10,2018-10-05 16:04:23,2018-10-05 16:04:23,item,publishednos
1630,energy & utility skills,install gas fired ducted air heaters and appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.10.pdf,current,2021-12-01 00:00:00,original,eusdsg3.10,5314,jobspecific,"install, installation, gas, warm air, central heating, systems, utility, utilities",dsg 3.10,2018-02-12 11:51:58,2019-03-21 11:26:14,item,publishednos-old
1165,energy & utility skills,maintain gas fired ducted air heaters and appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.11.pdf,current,2021-12-01 00:00:00,original,eusdsg3.11,,,"maintain, maintenance, warm air, central heating, heating systems, utility, utilities",dsg 3.11,2018-10-05 16:04:25,2018-10-05 16:04:25,item,publishednos
1629,energy & utility skills,maintain gas fired ducted air heaters and appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.11.pdf,current,2021-12-01 00:00:00,original,eusdsg3.11,5314,jobspecific,"maintain, maintenance, warm air, central heating, heating systems, utility, utilities",dsg 3.11,2018-02-12 11:52:02,2019-03-21 11:26:14,item,publishednos-old
1164,energy & utility skills,install gas meters and regulators (2.5 to 16.0m3/hr),down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.12.pdf,current,2021-12-01 00:00:00,original,eusdsg3.12,,,"nstall, installation, gas, meters, regulators, (2.5 to 16.0m)",dsg 3.12,2018-10-05 16:04:26,2018-10-05 16:04:27,item,publishednos
1628,energy & utility skills,install gas meters and regulators (2.5 to 16.0m3/hr),down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.12.pdf,current,2021-12-01 00:00:00,original,eusdsg3.12,5314,jobspecific,"nstall, installation, gas, meters, regulators, (2.5 to 16.0m)",dsg 3.12,2018-02-12 11:52:05,2019-03-21 11:26:14,item,publishednos-old
1163,energy & utility skills,install gas meters and regulators (2.5 to 1076m3/hr),down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.13.pdf,current,2021-12-01 00:00:00,original,eusdsg3.13,,,"install, installation, gas, meters, regulators, (2.5 to 1076m3/hr)",dsg 3.13,2018-10-05 16:04:28,2018-10-05 16:04:28,item,publishednos
1627,energy & utility skills,install gas meters and regulators (2.5 to 1076m3/hr),down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.13.pdf,current,2021-12-01 00:00:00,original,eusdsg3.13,5314,jobspecific,"install, installation, gas, meters, regulators, (2.5 to 1076m3/hr)",dsg 3.13,2018-02-12 11:52:09,2019-03-21 11:26:14,item,publishednos-old
