Unnamed: 0,NOS Title
lanleo1.pdf,work safely in the land-based engineering work area
lanleo12.pdf,service and repair clutches and other transmission controlling devices on land-based equipment
lanleo13.pdf,service and repair mechanical transmission assemblies on land-based equipment
lanleo17.pdf,service and repair land-based cutting and mowing equipment
lanleo18.pdf,service and repair land-based harvesting and processing equipment
lanleo19.pdf,"service and repair land-based soil preparation, cultivation and plant establishment equipment"
lanleo2.pdf,implement organisational procedures in land-based engineering
lanleo20.pdf,"service and repair land-based transport, handling and storage equipment"
lanleo22.pdf,service and repair electrical systems on land-based equipment
lanleo23.pdf,service and repair electronic control and monitoring systems on land-based equipment
lanleo24.pdf,service and repair hydraulic systems on land-based equipment
lanleo27.pdf,handle refrigerants
lanleo29.pdf,carry out the handover and installation of land-based equipment
lanleo3.pdf,deliver customer care in land-based engineering
lanleo32.pdf,service and repair land-based treatment application equipment
lanleo5.pdf,apply core land-based engineering principles: tools and equipment
lanleo6.pdf,"apply core land-based engineering principles: material preparation, shaping and assembling"
lanleo8.pdf,apply core land-based engineering principles: servicing and maintenance
lanleo9.pdf,apply core land-based engineering principles: thermal joining processes
group 938,service and repair braking systems on land-based equipment
group 939,service and repair wheeled and tracked steering systems on land-based equipment
group 942,service and repair pneumatic systems on land-based equipment
group 944,service and repair land-based air-conditioning/refrigeration systems
group 946,apply core land-based engineering principles: mechanical principles
