Skill name,Skill cluster
maintain snow removal equipment,driving and automotive maintenance
handle broodstock,driving and automotive maintenance
manage aircraft park area,driving and automotive maintenance
manufacture fur product,driving and automotive maintenance
bumper installation repair,driving and automotive maintenance
guide ships into docks,driving and automotive maintenance
operate tractor,driving and automotive maintenance
wash vehicles,driving and automotive maintenance
ethanol precipitation,driving and automotive maintenance
automobile dealership,driving and automotive maintenance
operate bucket wheel excavator,driving and automotive maintenance
shrink wrapping,driving and automotive maintenance
animal transportation vehicle,driving and automotive maintenance
maintain aquaculture containers,driving and automotive maintenance
perform cleaning duties,driving and automotive maintenance
shunt inbound loads,driving and automotive maintenance
inspect electronics supply,driving and automotive maintenance
transport horse,driving and automotive maintenance
brush the equipment,driving and automotive maintenance
train cleaning procedures,driving and automotive maintenance
live animal products,driving and automotive maintenance
organise part storage,driving and automotive maintenance
sort textile items,driving and automotive maintenance
weigh fruits and vegetables,driving and automotive maintenance
carry repair vehicle,driving and automotive maintenance
carry repair motorcycle,driving and automotive maintenance
small arms master gunner,driving and automotive maintenance
supervise grape press,driving and automotive maintenance
natural rubber,driving and automotive maintenance
rescue animals,driving and automotive maintenance
perform street cleaning manually,driving and automotive maintenance
measure fruits or vegetables,driving and automotive maintenance
pack vegetables or fruits,driving and automotive maintenance
order supply vehicle maintenance repair,driving and automotive maintenance
maintain broadcast equipment,driving and automotive maintenance
handle surveillance equipment,driving and automotive maintenance
wreck diving,driving and automotive maintenance
trawling,driving and automotive maintenance
operate dragline,driving and automotive maintenance
manage mining plant equipment,driving and automotive maintenance
cook vegetable product,driving and automotive maintenance
conduct forklift inspection,driving and automotive maintenance
monitor kitchen supply,driving and automotive maintenance
grade wheat milling,driving and automotive maintenance
inspect repaired tyres,driving and automotive maintenance
operate paper folding machine,driving and automotive maintenance
sell vehicle part,driving and automotive maintenance
carry out aerial tree rigging,driving and automotive maintenance
perform routine maintenance on railway engines,driving and automotive maintenance
operate headbox,driving and automotive maintenance
operate drill press,driving and automotive maintenance
operate wreck ball,driving and automotive maintenance
shunt outbound loads,driving and automotive maintenance
paint tyre,driving and automotive maintenance
sungard lockbox,driving and automotive maintenance
inspect road sign,driving and automotive maintenance
arrange equipment repairs,driving and automotive maintenance
weigh fruit vegetable,driving and automotive maintenance
maintain irrigation controller,driving and automotive maintenance
grapple truck,driving and automotive maintenance
