URN,NOS Title,Skills extracted
COGDO16,Managing process condition information in downstream operations,Permit; Book; Parameter; Instruction; Mass balance; Scanning; Schedule
PROFM48,Apply adhesives to components,Adhesive; Instruction; Fault
IMPFP127,Assemble fish or shellfish products by hand,Process specification; Production process; Food; Traceability; Production schedule
FSPCOMP3,Assess and review the compliance risks relevant to your organisation,Compliance; Risk assessment; Risk appetite
PROFRR18,Assess and specify repair requirements,Fault; Listen; Repair
LANRVN17,Assist the veterinary surgeon as a general theatre assistant during surgical procedures,History; Surgical procedure; Infection control; First aid; Welfare
LANRVN19,Assist the veterinary surgeon in preparing sedation and anaesthesia materials and equipment for veterinary procedures,Infection control; Diagnostic imaging; Welfare
ASTASPS34,Agree client requirements and prepare terms of engagement,Quotation; Age; Time constraint
ASTASPS36,Value property,Age; Auditing; Inspection; Market trend
ASTBUS412,Chair meetings,Interpersonal skill; Time management; Attend meeting; Schedule
ASTC102,Maintain personal hygiene standards when cleaning,Instruction; Hair; Cleaning
ASTC107,Work in an environmentally friendly way,
ASTC109,"Deal with waste, recyclables, lost property and suspicious packages",Handle waste; Instruction; Collection; Cleaning
ASTC202,Communicate effectively with customers and others,Comment; Fault; Cleaning
ASTC210,Clean confined spaces,Acting; Cleanliness; Instruction; Storage; Risk assessment; Cleaning
ASTC218,Perform street cleansing manually,Instruction; Cart; Collection; Cleaning
ASTC301,Supervise the work of cleaning staff,Contingency plan; Resource planning; Supervise the work of cleaning staff; Cleaning; Schedule; Coordinating
ASTCCR2,Carry out and complete clean-room cleaning operations,Cleanliness; Instruction; Filtration; Storage; Collection; Cleaning
ASTCCR3,Contribute to maintaining the required standard of cleanliness of clean-rooms,Cleanliness; Instruction; Calibration; Particle; Cleaning
ASTCCR4,Respond to spillages in clean-rooms,Instruction; Machinery; Storage
ASTCCR5,Contribute to the control of infection in clean environments,Infectious disease; Instruction; Collection; Cleaning; Soap
ASTCEA03,Establish the operational rating of buildings,Logbook; Calculation; Inspection; Energy management
ASTDEA3,Identify representative properties for sampling and multiple certification,Site inspection; Logbook; Database; Inspection
ASTEA5,Monitor the implementation of energy advice,Gather data; Audit report; Cost; Energy consumption; Quantification
ASTFFL1,Respond to requests for fire damage limitation work,Promote; Consultant; Instruction
ASTFFL3,Assess and estimate work required to limit damage to contents post fire,Instruction; Triage; Cost; Calculation; Risk assessment; Cleaning; Estimating
