Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Entry-level,painting,0.179,1
Pregraduate,Entry-level,customer contact,0.167,2
Pregraduate,Entry-level,physical demand,0.167,3
Pregraduate,Entry-level,mechanical engineering,0.036,4
Pregraduate,Entry-level,carpentry,0.021,5
Pregraduate,Entry-level,insulation,0.018,6
Pregraduate,Entry-level,plumbing,0.017,7
Pregraduate,Entry-level,problem solving,0.016,8
Pregraduate,Entry-level,communication skills,0.013,9
Pregraduate,Entry-level,hand tools,0.01,10
Pregraduate,Entry-level,renovation,0.009,11
Pregraduate,Entry-level,budgeting,0.009,12
Pregraduate,Entry-level,teamwork collaboration,0.009,13
Pregraduate,Entry-level,scheduling,0.008,14
Pregraduate,Entry-level,planning,0.008,15
Pregraduate,Entry-level,procurement,0.008,16
Pregraduate,Entry-level,energy management,0.008,17
Pregraduate,Entry-level,people management,0.007,18
Pregraduate,Entry-level,mechanical design,0.007,19
Pregraduate,Entry-level,cleaning,0.007,20
Pregraduate,Senior-level,mechanical engineering,0.078,1
Pregraduate,Senior-level,communication skills,0.029,2
Pregraduate,Senior-level,mechanical design,0.028,3
Pregraduate,Senior-level,electrical work,0.027,4
Pregraduate,Senior-level,commissioning,0.021,5
Pregraduate,Senior-level,problem solving,0.018,6
Pregraduate,Senior-level,preventive maintenance,0.017,7
Pregraduate,Senior-level,project management,0.017,8
Pregraduate,Senior-level,planning,0.016,9
Pregraduate,Senior-level,autocad,0.016,10
Pregraduate,Senior-level,predictive preventative maintenance,0.015,11
Pregraduate,Senior-level,budgeting,0.015,12
Pregraduate,Senior-level,mechanical maintenance,0.014,13
Pregraduate,Senior-level,hydraulics,0.014,14
Pregraduate,Senior-level,customer service,0.011,15
Pregraduate,Senior-level,solidworks,0.011,16
Pregraduate,Senior-level,teamwork collaboration,0.011,17
Pregraduate,Senior-level,facility maintenance,0.01,18
Pregraduate,Senior-level,calculation,0.009,19
Pregraduate,Senior-level,scheduling,0.008,20
Graduate,Senior-level,mechanical engineering,0.08,1
Graduate,Senior-level,mechanical design,0.045,2
Graduate,Senior-level,communication skills,0.029,3
Graduate,Senior-level,project management,0.027,4
Graduate,Senior-level,budgeting,0.024,5
Graduate,Senior-level,planning,0.022,6
Graduate,Senior-level,wind turbines,0.016,7
Graduate,Senior-level,solidworks,0.015,8
Graduate,Senior-level,wind power,0.015,9
Graduate,Senior-level,hydropower,0.015,10
Graduate,Senior-level,procurement,0.014,11
Graduate,Senior-level,commissioning,0.012,12
Graduate,Senior-level,problem solving,0.012,13
Graduate,Senior-level,autocad,0.012,14
Graduate,Senior-level,calculation,0.012,15
Graduate,Senior-level,writing,0.01,16
Graduate,Senior-level,engineering design and installation,0.01,17
Graduate,Senior-level,renewable energy,0.01,18
Graduate,Senior-level,leadership,0.01,19
Graduate,Senior-level,technical support,0.009,20
