Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Senior-level,mechanical engineering,0.069,1
Pregraduate,Senior-level,electrical work,0.034,2
Pregraduate,Senior-level,communication skills,0.032,3
Pregraduate,Senior-level,planning,0.031,4
Pregraduate,Senior-level,mechanical design,0.026,5
Pregraduate,Senior-level,teamwork collaboration,0.022,6
Pregraduate,Senior-level,organisational skills,0.021,7
Pregraduate,Senior-level,project management,0.021,8
Pregraduate,Senior-level,budgeting,0.02,9
Pregraduate,Senior-level,problem solving,0.019,10
Pregraduate,Senior-level,commissioning,0.018,11
Pregraduate,Senior-level,autocad,0.016,12
Pregraduate,Senior-level,preventive maintenance,0.013,13
Pregraduate,Senior-level,mechanical maintenance,0.013,14
Pregraduate,Senior-level,facility maintenance,0.012,15
Pregraduate,Senior-level,predictive preventative maintenance,0.012,16
Pregraduate,Senior-level,leadership,0.012,17
Pregraduate,Senior-level,customer service,0.011,18
Pregraduate,Senior-level,calculation,0.01,19
Pregraduate,Senior-level,packaging,0.01,20
Graduate,Senior-level,mechanical engineering,0.055,1
Graduate,Senior-level,communication skills,0.03,2
Graduate,Senior-level,mechanical design,0.029,3
Graduate,Senior-level,project management,0.021,4
Graduate,Senior-level,planning,0.018,5
Graduate,Senior-level,budgeting,0.018,6
Graduate,Senior-level,civil engineering,0.017,7
Graduate,Senior-level,commissioning,0.015,8
Graduate,Senior-level,autocad,0.014,9
Graduate,Senior-level,engineering design and installation,0.013,10
Graduate,Senior-level,engineering design,0.013,11
Graduate,Senior-level,problem solving,0.013,12
Graduate,Senior-level,calculation,0.011,13
Graduate,Senior-level,teamwork collaboration,0.01,14
Graduate,Senior-level,systems engineering,0.01,15
Graduate,Senior-level,engineering management,0.01,16
Graduate,Senior-level,solidworks,0.01,17
Graduate,Senior-level,procurement,0.009,18
Graduate,Senior-level,microsoft office,0.008,19
Graduate,Senior-level,scheduling,0.008,20
