Qualification requirements,Experience requirements,skill,occurrence percentage,skill rank
Pregraduate,Senior-level,mechanical engineering,0.091,1
Pregraduate,Senior-level,communication skills,0.031,2
Pregraduate,Senior-level,forklift operation,0.029,3
Pregraduate,Senior-level,preventive maintenance,0.029,4
Pregraduate,Senior-level,predictive preventative maintenance,0.025,5
Pregraduate,Senior-level,hydraulics,0.023,6
Pregraduate,Senior-level,mechanical design,0.02,7
Pregraduate,Senior-level,commissioning,0.019,8
Pregraduate,Senior-level,planning,0.015,9
Pregraduate,Senior-level,hoisting equipment,0.014,10
Pregraduate,Senior-level,problem solving,0.014,11
Pregraduate,Senior-level,budgeting,0.013,12
Pregraduate,Senior-level,lifting equipment,0.013,13
Pregraduate,Senior-level,project management,0.012,14
Pregraduate,Senior-level,cleaning,0.011,15
Pregraduate,Senior-level,maintenance scheduling,0.011,16
Pregraduate,Senior-level,surveys,0.011,17
Pregraduate,Senior-level,mechanical maintenance,0.01,18
Pregraduate,Senior-level,teamwork collaboration,0.009,19
Pregraduate,Senior-level,electrical design,0.009,20
